CAMPUS NAME AND NUMBER,CAMPUS CUMULATIVE YEAR END ENROLLMENT,CAMPUS DISCIPLINE POPULATION,CAMPUS DISCIPLINE RECORD COUNT,COUNT OF STUDENTS EXPELLED,COUNT OF STUDENTS EXPELLED TO JJAEP,COUNT OF STUDENTS REMOVED TO A DAEP,COUNT OF STUDENTS SUSPENDED IN SCHOOL,DISCRETIONARY DAEP REMOVALS,DISCRETIONARY EXPULSIONS,DISCRETIONARY EXPULSIONS TO JJAEP,MANDATORY DAEP REMOVALS,MANDATORY EXPULSIONS,MANDATORY EXPULSIONS TO JJAEP,STUDENTS SUSPENDED OUT OF SCHOOL,REGION,DISTRICT NAME AND NUMBER
DAVIS H S ALDINE 101902012,2871.0,966.0,2573.0,,,126.0,879.0,94.0,,,53.0,,,324.0,4,ALDINE ISD 101902
DAVIS INT 043914044,833.0,122.0,224.0,,,,120.0,,,,,,,10.0,10,WYLIE ISD 043914
DAVIS MIDDLE 015907043,867.0,335.0,977.0,,,60.0,196.0,13.0,,,56.0,,,254.0,20,SAN ANTONIO ISD 015907
DAVIS NINTH GRADE 101902082,989.0,384.0,1218.0,,,29.0,364.0,14.0,,,18.0,,,103.0,4,ALDINE ISD 101902
DAWSON EL 175904101,291.0,13.0,19.0,,,,13.0,,,,,,,,12,DAWSON ISD 175904
DAWSON EL 178904154,585.0,21.0,42.0,,,,14.0,,,,,,,,2,CORPUS CHRISTI ISD 178904
DAWSON EL 227901114,375.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
DAWSON H S 175904001,247.0,62.0,180.0,,,,62.0,,,,,,,,12,DAWSON ISD 175904
DAWSON SCHOOL 058902001,146.0,24.0,45.0,,,,15.0,,,,,,,12.0,17,DAWSON ISD 058902
DAY NURSERY OF ABILENE 221901208,68.0,,,,,,,,,,,,,,14,ABILENE ISD 221901
DAYTON H S 146902002,1594.0,321.0,929.0,,,82.0,290.0,69.0,,,,,,75.0,4,DAYTON ISD 146902
DE CHAUMES EL 101912137,863.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
DE LA VINA ELEM 108904117,573.0,12.0,21.0,,,,,,,,,,,12.0,1,EDINBURG CISD 108904
DE LEON EL 047902101,386.0,,,,,,,,,,,,,,14,DE LEON ISD 047902
DE LEON H S 047902001,194.0,,13.0,,,,,,,,,,,,14,DE LEON ISD 047902
DE LEON MIDDLE 108906046,734.0,124.0,261.0,,,,114.0,,,,,,,33.0,1,MCALLEN ISD 108906
DE SANTIAGO EC/PRE-K CENTER 101902155,713.0,,,,,,,,,,,,,,4,ALDINE ISD 101902
DE ZAVALA EL 015907121,657.0,,12.0,,,,,,,,,,,,20,SAN ANTONIO ISD 015907
DE ZAVALA EL 101905102,621.0,14.0,16.0,,,,,,,,,,,12.0,4,CHANNELVIEW ISD 101905
DE ZAVALA EL 101911120,885.0,87.0,256.0,,,,83.0,,,,,,,13.0,4,GOOSE CREEK CISD 101911
DE ZAVALA EL 101912138,610.0,,11.0,,,,,,,,,,,,4,HOUSTON ISD 101912
DE ZAVALA EL 165901106,646.0,26.0,41.0,,,,18.0,,,,,,,15.0,18,MIDLAND ISD 165901
DE ZAVALA EL 220905121,315.0,,13.0,,,,,,,,,,,,11,FORT WORTH ISD 220905
DE ZAVALA MIDDLE SCHOOL 101917136,763.0,158.0,335.0,,,,128.0,,,,,,,70.0,4,PASADENA ISD 101917
DEADY MIDDLE 101912045,774.0,277.0,1054.0,,,15.0,211.0,,,,,,,181.0,4,HOUSTON ISD 101912
DEAN AND MILDRED BENNETT EL 043907120,545.0,,11.0,,,,,,,,,,,,10,MCKINNEY ISD 043907
DEAN HIGHLAND EL 161914107,809.0,44.0,91.0,,,,42.0,,,,,,,28.0,12,WACO ISD 161914
DEAN LEAMAN J H SCHOOL 079901045,1008.0,94.0,179.0,,,,90.0,,,,,,,,4,LAMAR CISD 079901
DEAN MIDDLE 101907042,1733.0,564.0,2202.0,,,42.0,481.0,22.0,,,22.0,,,334.0,4,CYPRESS-FAIRBANKS ISD 101907
DEANDA EL 101912383,705.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
DEANNA DAVENPORT EL 071907102,418.0,23.0,41.0,,,,23.0,,,,,,,,19,CANUTILLO ISD 071907
DEARING EL 227904120,633.0,28.0,59.0,,,,27.0,,,,,,,10.0,13,PFLUGERVILLE ISD 227904
DEBAKEY H S FOR HEALTH PROF 101912026,869.0,,,,,,,,,,,,,,4,HOUSTON ISD 101912
DECATUR H S 249905001,1103.0,117.0,179.0,,,29.0,95.0,19.0,,,14.0,,,14.0,11,DECATUR ISD 249905
DECKER EL 227907104,513.0,30.0,,,,,26.0,,,,,,,,13,MANOR ISD 227907
DECKER MIDDLE 227907042,830.0,195.0,514.0,,,15.0,135.0,,,,,,,117.0,13,MANOR ISD 227907
DECKER PRAIRIE EL 101921102,738.0,12.0,21.0,,,,,,,,,,,,4,TOMBALL ISD 101921
DEEPWATER ELEMENTARY 101908102,873.0,45.0,77.0,,,,45.0,,,,,,,,4,DEER PARK ISD 101908
DEEPWATER J H 101908041,708.0,71.0,110.0,,,,61.0,,,,,,,16.0,4,DEER PARK ISD 101908
DEEPWOOD EL 246909107,375.0,11.0,16.0,,,,,,,,,,,,13,ROUND ROCK ISD 246909
DEER CREEK EL 220912103,553.0,30.0,54.0,,,,27.0,,,,,,,,11,CROWLEY ISD 220912
DEER CREEK EL 246913113,677.0,,,,,,,,,,,,,,13,LEANDER ISD 246913
DEER PARK ELEMENTARY 101908105,801.0,27.0,36.0,,,,27.0,,,,,,,,4,DEER PARK ISD 101908
DEER PARK HS 101908001,4272.0,804.0,2563.0,12.0,,189.0,715.0,130.0,12.0,,101.0,,,211.0,4,DEER PARK ISD 101908
DEER PARK J H 101908042,906.0,100.0,190.0,,,10.0,100.0,,,,,,,,4,DEER PARK ISD 101908
DEERPARK MIDDLE 246909045,999.0,192.0,476.0,,,19.0,165.0,10.0,,,10.0,,,93.0,13,ROUND ROCK ISD 246909
DEERWOOD EL 101913112,678.0,,,,,,,,,,,,,,4,HUMBLE ISD 101913
DEGAN EL 061902106,681.0,32.0,56.0,,,,24.0,,,,,,,12.0,11,LEWISVILLE ISD 061902
DEKALB EL 019901102,368.0,19.0,35.0,,,,18.0,,,,,,,,8,DEKALB ISD 019901
DEKALB H S 019901001,250.0,33.0,63.0,,,11.0,26.0,,,,,,,,8,DEKALB ISD 019901
DEKALB MIDDLE 019901041,294.0,43.0,85.0,,,,43.0,,,,,,,,8,DEKALB ISD 019901
DEL CASTILLO EL 031901120,390.0,,,,,,,,,,,,,,1,BROWNSVILLE ISD 031901
DEL NORTE HEIGHTS EL 071905104,349.0,11.0,12.0,,,,,,,,,,,,19,YSLETA ISD 071905
DEL RIO EARLY COLLEGE H S 233901005,329.0,,,,,,11.0,,,,,,,,15,SAN FELIPE-DEL RIO CISD 233901
DEL RIO H S 233901001,2810.0,394.0,1177.0,,,101.0,342.0,,,,58.0,,,160.0,15,SAN FELIPE-DEL RIO CISD 233901
DEL RIO MIDDLE 233901043,1625.0,366.0,1314.0,,,80.0,294.0,68.0,,,26.0,,,225.0,15,SAN FELIPE-DEL RIO CISD 233901
DEL VALLE EL 071905145,481.0,,11.0,,,,,,,,,,,,19,YSLETA ISD 071905
DEL VALLE EL 227910110,853.0,,,,,,,,,,,,,,13,DEL VALLE ISD 227910
DEL VALLE H S 071905008,2080.0,307.0,826.0,,,55.0,302.0,15.0,,,49.0,,,75.0,19,YSLETA ISD 071905
DEL VALLE H S 227910001,3264.0,803.0,2700.0,,12.0,158.0,660.0,53.0,,,152.0,,12.0,371.0,13,DEL VALLE ISD 227910
DEL VALLE MIDDLE 227910041,1030.0,265.0,767.0,,,,254.0,,,,,,,45.0,13,DEL VALLE ISD 227910
DEL VALLE OPPORTUNITY CTR 227910002,383.0,,35.0,,,,,,,,,,,16.0,13,DEL VALLE ISD 227910
DELAY MIDDLE 061902050,1034.0,190.0,399.0,,,19.0,169.0,,,,,,,56.0,11,LEWISVILLE ISD 061902
DELCO PRI 227904113,766.0,13.0,27.0,,,,12.0,,,,,,,,13,PFLUGERVILLE ISD 227904
DELL CHILDREN'S MEDICAL CENTER 227901249,10.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
DELL CITY SCHOOL 115903001,78.0,,,,,,,,,,,,,,19,DELL CITY ISD 115903
DELL PICKETT EL 246904105,338.0,,16.0,,,,,,,,,,,,13,GEORGETOWN ISD 246904
DELLA ICENHOWER INT 220908205,977.0,189.0,510.0,,,,188.0,,,,,,,34.0,11,MANSFIELD ISD 220908
DELLVIEW EL 015910104,442.0,29.0,90.0,,,,28.0,,,,,,,,20,NORTH EAST ISD 015910
DELORAS E THOMPSON EL 101919114,720.0,39.0,72.0,,,,18.0,,,,,,,25.0,4,SPRING ISD 101919
DELTA ACADEMY 071902025,283.0,,,,,,,,,,,,,,19,EL PASO ISD 071902
DENA KELSO GRAVES EL 159901104,537.0,27.0,49.0,,,,19.0,,,,,,,12.0,20,EAGLE PASS ISD 159901
DENISON H S 091903001,1385.0,386.0,1387.0,,,130.0,356.0,155.0,,,,,,92.0,10,DENISON ISD 091903
DENTON CLASSICAL ACADEMY 221801060,162.0,,10.0,,,,,,,,,,,,14,TEXAS COLLEGE PREPARATORY ACADEMIE 221801
DENTON CREEK 061911003,99.0,40.0,90.0,,,,,,,,,,,40.0,11,NORTHWEST ISD 061911
DENTON CREEK EL 057922111,483.0,,,,,,,,,,,,,,10,COPPELL ISD 057922
DENTON H S 061901003,2158.0,260.0,693.0,,,52.0,233.0,27.0,,,29.0,,,94.0,11,DENTON ISD 061901
DENVER CITY H S 251901001,525.0,79.0,125.0,,,13.0,70.0,,,,,,,,17,DENVER CITY ISD 251901
DEPELCHIN-RICHMOND 227806029,29.0,,,,,,,,,,,,,,13,UNIVERSITY OF TEXAS UNIVERSITY CHA 227806
DEPORT EL 139912102,167.0,,,,,,,,,,,,,,8,PRAIRILAND ISD 139912
DEQUEEN EL 123907102,324.0,73.0,154.0,,,,20.0,,,,,,,63.0,5,PORT ARTHUR ISD 123907
DERETCHIN EL 170902074,991.0,23.0,40.0,,,,21.0,,,,,,,,6,CONROE ISD 170902
DERRY EL 031909101,670.0,56.0,105.0,,,,56.0,,,,,,,,1,POINT ISABEL ISD 031909
DESERT HILLS EL 071901103,1145.0,33.0,65.0,,,,28.0,,,,,,,15.0,19,CLINT ISD 071901
DESERT VIEW MIDDLE 071905048,350.0,82.0,134.0,,,,76.0,,,,,,,15.0,19,YSLETA ISD 071905
DESERT WIND EL 071909120,959.0,135.0,403.0,,,19.0,103.0,,,,,,,96.0,19,SOCORRO ISD 071909
DESERTAIRE EL 071905136,915.0,12.0,15.0,,,,,,,,,,,10.0,19,YSLETA ISD 071905
DESOTO ALTERNATIVE EDUCATION CENTE 057906008,,46.0,60.0,,,17.0,,,,,,,,29.0,10,DESOTO ISD 057906
DESOTO EAST MIDDLE (ISTEAM) 057906041,685.0,117.0,166.0,,,,,,,,,,,109.0,10,DESOTO ISD 057906
DESOTO H S & ISTEAM3D 057906001,3591.0,1249.0,3044.0,,,204.0,1078.0,204.0,,,26.0,,,612.0,10,DESOTO ISD 057906
DESOTO WEST MIDDLE (ISTEAM) 057906042,742.0,138.0,211.0,,,13.0,26.0,,,,,,,121.0,10,DESOTO ISD 057906
DESSAU EL 227904105,678.0,28.0,44.0,,,,25.0,,,,,,,,13,PFLUGERVILLE ISD 227904
DESSAU MIDDLE 227904045,907.0,315.0,1935.0,,,46.0,312.0,14.0,,,43.0,,,111.0,13,PFLUGERVILLE ISD 227904
DETENT CTR 220905024,708.0,,,,,,,,,,,,,,11,FORT WORTH ISD 220905
DETROIT EL 194905101,300.0,19.0,31.0,,,,19.0,,,,,,,,8,DETROIT ISD 194905
DETROIT H S 194905001,165.0,19.0,24.0,,,,18.0,,,,,,,,8,DETROIT ISD 194905
DETROIT J H 194905041,104.0,28.0,43.0,,,,20.0,,,,,,,10.0,8,DETROIT ISD 194905
DEVELOPMENTAL CTR 147903101,37.0,,,,,,,,,,,,,,12,MEXIA ISD 147903
DEVERS EL 146903101,138.0,,,,,,,,,,,,,,4,DEVERS ISD 146903
DEVERS JH 146903041,57.0,,,,,,,,,,,,,,4,DEVERS ISD 146903
DEVINE H S 163901001,633.0,166.0,575.0,,,16.0,158.0,,,,,,,32.0,20,DEVINE ISD 163901
DEVINE INTERMEDIATE SCHOOL 163901102,470.0,,47.0,,,,,,,,,,,,20,DEVINE ISD 163901
DEVINE MIDDLE 163901041,495.0,73.0,156.0,,,13.0,70.0,,,,,,,,20,DEVINE ISD 163901
DEVONIAN EL 002901101,673.0,,,,,,,,,,,,,,18,ANDREWS ISD 002901
DEW EL 081906101,174.0,,,,,,,,,,,,,,12,DEW ISD 081906
DEWEYVILLE EL 176903101,286.0,,14.0,,,,,,,,,,,,5,DEWEYVILLE ISD 176903
DEWEYVILLE H S 176903001,335.0,,146.0,,,,,,,,,,,13.0,5,DEWEYVILLE ISD 176903
DEZAVALA EL 105902103,645.0,43.0,73.0,,,,42.0,,,,,,,,13,SAN MARCOS CISD 105902
DIAMOND HILL EL 220905122,702.0,,12.0,,,,,,,,,,,,11,FORT WORTH ISD 220905
DIAMOND HILL-JARVIS H S 220905004,998.0,203.0,512.0,,,15.0,182.0,,,,,,,71.0,11,FORT WORTH ISD 220905
DIANE WINBORN EL 101914108,758.0,15.0,21.0,,,,15.0,,,,,,,,4,KATY ISD 101914
DIAZ J H 108905041,670.0,154.0,344.0,,,33.0,138.0,23.0,,,13.0,,,46.0,1,HIDALGO ISD 108905
DIAZ-VILLARREAL EL 108912111,670.0,45.0,67.0,,,,44.0,,,,,,,,1,LA JOYA ISD 108912
DIBOLL H S 003905001,513.0,61.0,110.0,,,12.0,53.0,,,,,,,12.0,7,DIBOLL ISD 003905
DIBOLL J H 003905041,286.0,56.0,153.0,,,,55.0,,,,,,,,7,DIBOLL ISD 003905
DIBOLL PRI 003905102,212.0,,,,,,,,,,,,,,7,DIBOLL ISD 003905
DICKINSON CONTINUATION CENTER 084901009,103.0,,,,,,,,,,,,,,4,DICKINSON ISD 084901
DICKINSON H S 084901001,3121.0,741.0,1794.0,15.0,,157.0,649.0,86.0,,,92.0,,,208.0,4,DICKINSON ISD 084901
DILLEY EL 082902101,485.0,62.0,157.0,,,,62.0,,,,,,,,20,DILLEY ISD 082902
DILLEY H S 082902001,320.0,125.0,481.0,,,10.0,121.0,,,,,,,23.0,20,DILLEY ISD 082902
DILLINGHAM INT 091906102,1198.0,111.0,294.0,,,12.0,109.0,17.0,,,,,,12.0,10,SHERMAN ISD 091906
DILLMAN EL 009901103,446.0,,,,,,,,,,,,,,17,MULESHOE ISD 009901
DIME BOX SCHOOL 144903001,185.0,31.0,54.0,,,,24.0,,,,,,,,13,DIME BOX ISD 144903
DIMMITT H S 035901001,339.0,84.0,179.0,,,,82.0,,,,,,,,16,DIMMITT ISD 035901
DIMMITT MIDDLE 035901041,380.0,57.0,121.0,,,,55.0,,,,,,,,16,DIMMITT ISD 035901
DISCIPLINARY ALTERNATIVE EDUCATION 021902012,,179.0,484.0,,,35.0,,21.0,,,14.0,,,161.0,6,BRYAN ISD 021902
DISCIPLINARY ALTERNATIVE EDUCATION 146901003,,,,,,,,,,,,,,11.0,4,CLEVELAND ISD 146901
DISCOVERY MIDDLE 101838041,341.0,11.0,14.0,,,,,,,,,,,,4,SOUTHWEST SCHOOL 101838
DISHMAN EL 031903106,355.0,,,,,,,,,,,,,,1,HARLINGEN CISD 031903
DISHMAN EL 123910126,625.0,26.0,45.0,,,,20.0,,,,,,,11.0,5,BEAUMONT ISD 123910
DITTO EL 220901130,753.0,34.0,75.0,,,,34.0,,,,,,,,11,ARLINGTON ISD 220901
DIVIDE EL 133905101,25.0,,,,,,,,,,,,,,20,DIVIDE ISD 133905
DIXIE EL 212905107,729.0,74.0,254.0,,,,69.0,,,,,,,21.0,7,TYLER ISD 212905
DOBIE H S 101917004,4402.0,769.0,1916.0,,,79.0,679.0,14.0,,,67.0,,,287.0,4,PASADENA ISD 101917
DOBIE J H 094902042,1331.0,223.0,532.0,,,15.0,208.0,,,,,,,78.0,20,SCHERTZ-CIBOLO-U CITY ISD 094902
DOBIE MIDDLE 227901055,663.0,259.0,968.0,,,48.0,216.0,,,,,,,151.0,13,AUSTIN ISD 227901
DOBIE PK CENTER 227901192,239.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
DOBIE PRI 057916119,542.0,,,,,,,,,,,,,,10,RICHARDSON ISD 057916
DODD CITY SCHOOL 074904001,399.0,29.0,66.0,,,,28.0,,,,,,,,10,DODD CITY ISD 074904
DODD EL 043914104,577.0,20.0,44.0,,,,19.0,,,,,,,,10,WYLIE ISD 043914
DODSON PRI 251901104,453.0,,,,,,,,,,,,,,17,DENVER CITY ISD 251901
DOERRE INT 101915046,1366.0,165.0,449.0,,,12.0,151.0,,,,,,,59.0,4,KLEIN ISD 101915
DOGAN EL 101912140,664.0,12.0,16.0,,,,10.0,,,,,,,,4,HOUSTON ISD 101912
DOGAN MIDDLE 212905042,492.0,173.0,569.0,,,15.0,142.0,,,,,,,97.0,7,TYLER ISD 212905
DOGWOOD EL 170908115,734.0,17.0,28.0,,,,12.0,,,,,,,,6,NEW CANEY ISD 170908
DOLORES HUERTA EL 220905227,589.0,19.0,33.0,,,,,,,,,,,18.0,11,FORT WORTH ISD 220905
DOLORES MCCLATCHEY EL 070908109,627.0,11.0,18.0,,,,10.0,,,,,,,,10,MIDLOTHIAN ISD 070908
DOLPHIN TERRACE EL 071905105,661.0,18.0,31.0,,,,14.0,,,,,,,11.0,19,YSLETA ISD 071905
DOMINGO TREVINO MIDDLE 108912049,856.0,256.0,902.0,,,,221.0,,,,,,,136.0,1,LA JOYA ISD 108912
DON JETER EL 020901110,889.0,18.0,33.0,,,,16.0,,,,,,,,4,ALVIN ISD 020901
DON JOSE GALLEGO 240901102,800.0,,,,,,,,,,,,,,1,LAREDO ISD 240901
DON R DANIEL NINTH GRADE CAMPUS 184907009,473.0,26.0,43.0,,,,23.0,,,,,,,,11,ALEDO ISD 184907
DON T DURHAM INT 220919106,702.0,,,,,,,,,,,,,,11,CARROLL ISD 220919
DON WHITT EL 043914109,668.0,,,,,,,,,,,,,,10,WYLIE ISD 043914
DONALD EL 061902117,482.0,,,,,,,,,,,,,,11,LEWISVILLE ISD 061902
DONALD LEONETTI EL 079907153,479.0,12.0,16.0,,,,10.0,,,,,,,,4,FORT BEND ISD 079907
DONNA H S 108902001,2120.0,414.0,1456.0,,,71.0,288.0,29.0,,,52.0,,,269.0,1,DONNA ISD 108902
DONNA LEWIS EL 101919123,727.0,15.0,25.0,,,,,,,,,,,11.0,4,SPRING ISD 101919
DONNA NORTH H S 108902007,2275.0,627.0,2333.0,,,111.0,519.0,34.0,,,96.0,,,332.0,1,DONNA ISD 108902
DONNA PARK 220916113,585.0,56.0,128.0,,,,55.0,,,,,,,,11,HURST-EULESS-BEDFORD ISD 220916
DONNA SHEPARD INT 220908204,907.0,128.0,314.0,,,,121.0,,,,,,,29.0,11,MANSFIELD ISD 220908
DONNA WERNECKE EL 108911109,759.0,16.0,29.0,,,,14.0,,,,,,,,1,SHARYLAND ISD 108911
DOOLEY EL 043910119,400.0,,,,,,,,,,,,,,10,PLANO ISD 043910
DORA M SAUCEDA MIDDLE 108902047,957.0,330.0,1511.0,,,41.0,301.0,10.0,,,33.0,,,167.0,1,DONNA ISD 108902
DORA ROMERO EL 031906110,598.0,19.0,28.0,,,,17.0,,,,,,,,1,LOS FRESNOS CISD 031906
DORIE MILLER EL 015907153,308.0,32.0,75.0,,,,28.0,,,,,,,11.0,20,SAN ANTONIO ISD 015907
DORIE MILLER INT 070903043,689.0,102.0,253.0,,,,96.0,,,,,,,29.0,10,ENNIS ISD 070903
DORIS CULLINS-LAKE POINTE EL 199901105,736.0,61.0,102.0,,,,59.0,,,,,,,,10,ROCKWALL ISD 199901
DOROTHY P ADKINS EL 061901126,393.0,,10.0,,,,,,,,,,,,11,DENTON ISD 061901
DOROTHY SMITH PULLEN EL 199901108,596.0,,,,,,,,,,,,,,10,ROCKWALL ISD 199901
DOROTHY THOMPSON MIDDLE 108910041,275.0,45.0,80.0,,,,,,,,,,,45.0,1,PROGRESO ISD 108910
DORRIS A JONES EL 199901109,672.0,43.0,102.0,,,,42.0,,,,,,,,10,ROCKWALL ISD 199901
DOSS EL 086024101,28.0,,,,,,,,,,,,,,13,DOSS CONSOLIDATED CSD 086024
DOSS EL 227901154,864.0,,,,,,,,,,,,,,13,AUSTIN ISD 227901
DOUBLE FILE TRAIL EL 246909119,676.0,27.0,71.0,,,,27.0,,,,,,,,13,ROUND ROCK ISD 246909
DOUGLAS BENOLD MIDDLE 246904040,922.0,115.0,345.0,,,,88.0,,,,,,,73.0,13,GEORGETOWN ISD 246904
DOUGLAS EL 212905108,614.0,31.0,73.0,,,,27.0,,,,,,,,7,TYLER ISD 212905
DOUGLAS INT 112901107,335.0,21.0,39.0,,,,20.0,,,,,,,,8,SULPHUR SPRINGS ISD 112901
DOUGLASS EL 015907119,436.0,13.0,16.0,,,,,,,,,,,,20,SAN ANTONIO ISD 015907
DOUGLASS EL 071902114,348.0,11.0,19.0,,,,,,,,,,,,19,EL PASO ISD 071902
DOUGLASS SCHOOL 174911001,513.0,31.0,39.0,,,,22.0,,,,,,,12.0,7,DOUGLASS ISD 174911
DOVALINA EL 240901123,527.0,,,,,,,,,,,,,,1,LAREDO ISD 240901
DOVE EL 220906103,533.0,25.0,48.0,,,,19.0,,,,,,,,11,GRAPEVINE-COLLEYVILLE ISD 220906
DOVER EL 057916103,630.0,30.0,65.0,,,,28.0,,,,,,,10.0,10,RICHARDSON ISD 057916
DOWELL EL 071902115,396.0,,,,,,,,,,,,,,19,EL PASO ISD 071902
DOWELL MIDDLE 043907043,1240.0,93.0,168.0,,,,20.0,,,,,,,90.0,10,MCKINNEY ISD 043907
DOWLING EL 068901107,629.0,25.0,45.0,,,,,,,,,,,25.0,18,ECTOR COUNTY ISD 068901
DOWLING EL 123907113,454.0,34.0,56.0,,,,30.0,,,,,,,,5,PORT ARTHUR ISD 123907
DOWNS EL 031912104,451.0,,,,,,,,,,,,,,1,SAN BENITO CISD 031912
DOZIER EL 220918115,695.0,11.0,22.0,,,,11.0,,,,,,,,11,EAGLE MT-SAGINAW ISD 220918
DR ABRAHAM P CANO FRESHMAN ACADEMY 031903007,1220.0,200.0,532.0,,,87.0,169.0,69.0,,,44.0,,,77.0,1,HARLINGEN CISD 031903
DR AL DRAPER INTERMED 043914046,1031.0,30.0,48.0,,,,18.0,,,,,,,15.0,10,WYLIE ISD 043914
DR ALEJO SALINAS JR EL 108905103,439.0,,,,,,,,,,,,,,1,HIDALGO ISD 108905
DR AMERICO PAREDES EL 108912122,527.0,,,,,,,,,,,,,,1,LA JOYA ISD 108912
DR BRUCE WOOD EL 129906109,665.0,60.0,210.0,,,,60.0,,,,,,,,10,TERRELL ISD 129906
DR BRYAN C JACK EL 212905125,823.0,44.0,125.0,,,,44.0,,,,,,,,7,TYLER ISD 212905
DR DAVID C WALKER EL 015806106,191.0,18.0,27.0,,,,,,,,,,,18.0,20,SCHOOL OF EXCELLENCE IN EDUCATION 015806
DR E T BOON EL 043901113,750.0,14.0,40.0,,,,14.0,,,,,,,,10,ALLEN ISD 043901
DR FERMIN CALDERON EL 233901112,665.0,29.0,43.0,,,,10.0,,,,,,,21.0,15,SAN FELIPE-DEL RIO CISD 233901
DR HARMON W KELLEY EL 015806101,364.0,17.0,21.0,,,,,,,,,,,17.0,20,SCHOOL OF EXCELLENCE IN EDUCATION 015806
DR HESIQUIO RODRIGUEZ EL 031903122,782.0,28.0,61.0,,,,25.0,13.0,,,,,,,1,HARLINGEN CISD 031903
DR JACK COCKRILL MIDDLE 043907046,1389.0,78.0,208.0,,,,20.0,,,,,,,73.0,10,MCKINNEY ISD 043907
DR JAVIER SAENZ MIDDLE 108912043,847.0,222.0,872.0,,,21.0,181.0,,,,,,,130.0,1,LA JOYA ISD 108912
DR JOSEPH A FOWLER EL 014906139,1267.0,242.0,849.0,,,12.0,228.0,,,,,,,64.0,12,KILLEEN ISD 014906
DR KAY TEER CRAWFORD EL 108904128,623.0,,14.0,,,,,,,,,,,,1,EDINBURG CISD 108904
DR LEO CIGARROA H S 240901003,1685.0,145.0,252.0,,,35.0,116.0,,,,,,,44.0,1,LAREDO ISD 240901
DR LINDA HENRIE EL 057914133,1032.0,21.0,27.0,,,,21.0,,,,,,,,10,MESQUITE ISD 057914
DR LONNIE GREEN JR EL 233901113,835.0,29.0,43.0,,,,28.0,,,,,,,,15,SAN FELIPE-DEL RIO CISD 233901
DR LORENZO G LAFARELLE MIDDLE 071902040,,60.0,399.0,,,,51.0,,,,,,,47.0,19,EL PASO ISD 071902
DR LYNN ARMSTRONG EL 079907144,635.0,,,,,,,,,,,,,,4,FORT BEND ISD 079907
DR M L GARZA-GONZALEZ CHARTER SCHO 178801001,215.0,,,,,,,,,,,,,,2,DR M L GARZA-GONZALEZ CHARTER SCHO 178801
DR MAE E JONES-CLARK EL 123910129,709.0,117.0,278.0,,,,21.0,,,,,,,109.0,5,BEAUMONT ISD 123910
DR MALAKOFF EL 240903130,1051.0,,,,,,,,,,,,,,1,UNITED ISD 240903
DR MARIA PALMIRA MENDIOLA EL 108912127,825.0,41.0,81.0,,,,25.0,,,,,,,23.0,1,LA JOYA ISD 108912
DR MARIO E RAMIREZ EL 214901112,520.0,,,,,,,,,,,,,,1,RIO GRANDE CITY CISD 214901
DR PABLO PEREZ 108906128,565.0,,,,,,,,,,,,,,1,MCALLEN ISD 108906
DR PAUL S SAENZ J H 015806041,89.0,,,,,,,,,,,,,,20,SCHOOL OF EXCELLENCE IN EDUCATION 015806
DR R E MARGO EL 108913109,994.0,16.0,21.0,,,,10.0,,,,,,,,1,WESLACO ISD 108913
DR SHIRLEY J WILLIAMSON EL 101910115,750.0,,,,,,,,,,,,,,4,GALENA PARK ISD 101910
DR SUE A SHOOK SCHOOL 071909126,926.0,,,,,,,,,,,,,,19,SOCORRO ISD 071909
DR T C MCCORMICK JR MIDDLE 105906047,813.0,223.0,626.0,,,,205.0,,,,,,,60.0,13,HAYS CISD 105906
DR TERRY ROBBINS MIDDLE 003801042,263.0,40.0,69.0,,,,39.0,,,,,,,10.0,7,PINEYWOODS COMMUNITY ACADEMY 003801
DR THOMAS ESPARZA EL 108904127,474.0,,,,,,,,,,,,,,1,EDINBURG CISD 108904
DR TOMAS RIVERA EL 254901101,435.0,,24.0,,,,,,,,,,,,20,CRYSTAL CITY ISD 254901
DR WILLIAM LONG EL 108909124,936.0,,,,,,,,,,,,,,1,PHARR-SAN JUAN-ALAMO ISD 108909
DR WRIGHT L LASSITER JR EARLY COLL 057905090,227.0,,,,,,,,,,,,,,10,DALLAS ISD 057905
DRANE EARLY LEARNING CENTER 175903111,324.0,,,,,,,,,,,,,,12,CORSICANA ISD 175903
DRAW ACADEMY 101856101,287.0,,,,,,,,,,,,,,4,DRAW ACADEMY 101856
DRAW ACADEMY EARLY LEARNING CENTER 101856102,149.0,,,,,,,,,,,,,,4,DRAW ACADEMY 101856
DRAW ACADEMY UPPER EL 101856103,237.0,,,,,,,,,,,,,,4,DRAW ACADEMY 101856
DRC CAMPUS 057814002,108.0,,,,,,,,,,,,,,10,ACADEMY FOR ACADEMIC EXCELLENCE 057814
DREW ACADEMY 101902042,621.0,197.0,650.0,,,16.0,168.0,,,,,,,96.0,4,ALDINE ISD 101902
DREW EL 101906104,538.0,26.0,39.0,,,,,,,,,,,,4,CROSBY ISD 101906
